pathway,pathway_id,n_genes,pathway_size,odds_ratio,p_value,p_adj_bh,is_signaling,genes
Nucleotide excision repair - Homo sapiens (human),path:hsa03420,3,63,35.019,0.00013232105672834513,0.014158353069932931,False,"CDK7, POLD2, RAD1"
MicroRNAs in cancer - Homo sapiens (human),path:hsa05206,4,320,9.082,0.0015314893502508787,0.030380885090281244,False,"MCL1, MYC, RAD1, ZEB2"
Thyroid cancer - Homo sapiens (human),path:hsa05216,2,37,38.643,0.0015509147584344956,0.030380885090281244,False,"MYC, RAD1"
One carbon pool by folate - Homo sapiens (human),path:hsa00670,2,39,36.55,0.0017221881728399396,0.030380885090281244,False,"AHCY, GCSH"
Bladder cancer - Homo sapiens (human),path:hsa05219,2,41,34.672,0.0019020638297973498,0.030380885090281244,False,"MYC, RAD1"
Cell cycle - Homo sapiens (human),path:hsa04110,3,158,13.487,0.0019426291375162195,0.030380885090281244,False,"CDK7, MYC, RAD1"
Basal transcription factors - Homo sapiens (human),path:hsa03022,2,44,32.19,0.0021878921201392287,0.030380885090281244,False,"CDK7, TAF10"
JAK-STAT signaling pathway - Homo sapiens (human),path:hsa04630,3,168,12.663,0.00231330916981851,0.030380885090281244,True,"MCL1, MYC, RAD1"
Wnt signaling pathway - Homo sapiens (human),path:hsa04310,3,174,12.215,0.002555401549649824,0.030380885090281244,True,"MYC, RAD1, RUVBL1"
Endometrial cancer - Homo sapiens (human),path:hsa05213,2,59,23.701,0.0038994860529367346,0.038903633381003264,False,"MYC, RAD1"
Proteoglycans in cancer - Homo sapiens (human),path:hsa05205,3,204,10.375,0.003999438945710616,0.038903633381003264,False,"DROSHA, MYC, RAD1"
Acute myeloid leukemia - Homo sapiens (human),path:hsa05221,2,68,20.459,0.0051462229713743705,0.04588715482808814,True,"MYC, RAD1"
Glioma - Homo sapiens (human),path:hsa05214,2,76,18.239,0.0063882879666626955,0.046739302255370166,False,"MYC, RAD1"
Pancreatic cancer - Homo sapiens (human),path:hsa05212,2,77,17.995,0.006552238633930396,0.046739302255370166,False,"MYC, RAD1"
Chronic myeloid leukemia - Homo sapiens (human),path:hsa05220,2,77,17.995,0.006552238633930396,0.046739302255370166,True,"MYC, RAD1"
Colorectal cancer - Homo sapiens (human),path:hsa05210,2,87,15.87,0.00829588513065311,0.055478731811242674,False,"MYC, RAD1"
Small cell lung cancer - Homo sapiens (human),path:hsa05222,2,93,14.819,0.009431339334864895,0.05936195934297316,False,"MYC, RAD1"
Endocrine resistance - Homo sapiens (human),path:hsa01522,2,99,13.898,0.010632191221711445,0.0632024700401736,False,"MYC, RAD1"
Prostate cancer - Homo sapiens (human),path:hsa05215,2,106,12.957,0.012114173162088735,0.06822192254439446,False,"MYC, RAD1"
ATP-dependent chromatin remodeling - Homo sapiens (human),path:hsa03082,2,117,11.711,0.014614710264823687,0.07693775447578295,False,"MRGBP, RUVBL1"
AMPK signaling pathway - Homo sapiens (human),path:hsa04152,2,122,11.22,0.015818977555768457,0.07693775447578295,True,"MYC, RAD1"
Thyroid hormone signaling pathway - Homo sapiens (human),path:hsa04919,2,122,11.22,0.015818977555768457,0.07693775447578295,True,"MYC, RAD1"
Purine metabolism - Homo sapiens (human),path:hsa00230,2,128,10.683,0.01731858359942544,0.08056906283210966,False,"IMPDH2, PAICS"
PI3K-Akt signaling pathway - Homo sapiens (human),path:hsa04151,3,362,5.76,0.019034236697777977,0.08486097194426015,True,"MCL1, MYC, RAD1"
Apelin signaling pathway - Homo sapiens (human),path:hsa04371,2,140,9.747,0.020491632904288015,0.0877041888303527,True,"MYC, RAD1"
Breast cancer - Homo sapiens (human),path:hsa05224,2,148,9.209,0.022732081597225576,0.09236654242814578,False,"MYC, RAD1"
Gastric cancer - Homo sapiens (human),path:hsa05226,2,150,9.084,0.023307445285606875,0.09236654242814578,False,"MYC, RAD1"
Cellular senescence - Homo sapiens (human),path:hsa04218,2,157,8.671,0.025368341326953824,0.0926279896805892,False,"MYC, RAD1"
Hippo signaling pathway - Homo sapiens (human),path:hsa04390,2,157,8.671,0.025368341326953824,0.0926279896805892,True,"MYC, RAD1"
Hepatitis C - Homo sapiens (human),path:hsa05160,2,159,8.559,0.025970464396426876,0.0926279896805892,False,"MYC, RAD1"
Hepatocellular carcinoma - Homo sapiens (human),path:hsa05225,2,170,7.994,0.029385369028110182,0.10142691890347709,False,"MYC, RAD1"
Lipoic acid metabolism - Homo sapiens (human),path:hsa00785,1,20,34.394,0.031125053570122258,0.10407439787509631,False,GCSH
Mismatch repair - Homo sapiens (human),path:hsa03430,1,23,29.699,0.03571228068386755,0.11579436464163116,False,POLD2
Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human),path:hsa05167,2,196,6.913,0.03812074018071372,0.1199682117451873,False,"MYC, RAD1"
Epstein-Barr virus infection - Homo sapiens (human),path:hsa05169,2,205,6.603,0.04135034648462019,0.12641391639583888,False,"MYC, RAD1"
Cornified envelope formation - Homo sapiens (human),path:hsa04382,2,217,6.231,0.04581203259865874,0.12960262089746252,False,"KRT8, MYC"
Chemical carcinogenesis - receptor activation - Homo sapiens (human),path:hsa05207,2,217,6.231,0.04581203259865874,0.12960262089746252,True,"MYC, RAD1"
Human T-cell leukemia virus 1 infection - Homo sapiens (human),path:hsa05166,2,224,6.032,0.04849399721200155,0.12960262089746252,True,"MYC, RAD1"
Autophagy - other - Homo sapiens (human),path:hsa04136,1,32,21.067,0.04934834486230519,0.12960262089746252,False,MYC
Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),path:hsa00630,1,32,21.067,0.04934834486230519,0.12960262089746252,False,GCSH
Human cytomegalovirus infection - Homo sapiens (human),path:hsa05163,2,227,5.951,0.0496608173532333,0.12960262089746252,False,"MYC, RAD1"
DNA replication - Homo sapiens (human),path:hsa03030,1,36,18.655,0.05534880999196527,0.1410076825985782,False,POLD2
Homologous recombination - Homo sapiens (human),path:hsa03440,1,41,16.319,0.06279792005446741,0.1527131237688185,False,POLD2
"Glycine, serine and threonine metabolism - Homo sapiens (human)",path:hsa00260,1,41,16.319,0.06279792005446741,0.1527131237688185,False,GCSH
Base excision repair - Homo sapiens (human),path:hsa03410,1,44,15.178,0.06724009651592212,0.15988200727119262,False,POLD2
Type II diabetes mellitus - Homo sapiens (human),path:hsa04930,1,47,14.186,0.07166191644694485,0.1666918491265891,False,MYC
Cysteine and methionine metabolism - Homo sapiens (human),path:hsa00270,1,52,12.792,0.0789866240921087,0.17982061229480067,False,AHCY
Fanconi anemia pathway - Homo sapiens (human),path:hsa03460,1,55,12.079,0.08335459930178628,0.18518890914072617,True,RAD1
Hedgehog signaling pathway - Homo sapiens (human),path:hsa04340,1,56,11.859,0.08480613596164095,0.18518890914072617,True,RAD1
Longevity regulating pathway - multiple species - Homo sapiens (human),path:hsa04213,1,62,10.689,0.09346880760990532,0.20002324828519738,True,MYC
Human papillomavirus infection - Homo sapiens (human),path:hsa05165,2,333,4.022,0.09667935178946077,0.20283707140141768,False,"MYC, RAD1"
Adipocytokine signaling pathway - Homo sapiens (human),path:hsa04920,1,70,9.446,0.10489582174066149,0.20305855035742731,True,MYC
Viral myocarditis - Homo sapiens (human),path:hsa05416,1,70,9.446,0.10489582174066149,0.20305855035742731,False,RAD1
