TF,n_targets,enrichment,p_value,p_adj_bh,fraction_of_targets,top_targets
FOSL1,3,6.562,0.01669036830654391,0.03561552916917268,0.214,"CDKN2A, IL6, NQO1"
CEBPD,3,6.562,0.01669036830654391,0.03561552916917268,0.214,"IL6, C3, CCND1"
ETS1,32,1.589,0.01697476926340543,0.03561552916917268,0.061,"AMOTL2, FOXK1, BCL3, ID1, EFHC1, JUP, FGFBP1, MET, ERGIC1, FASN"
FOXO3,5,3.65,0.01703351395047389,0.03561552916917268,0.132,"FBXO32, SIRT1, ID1, CCND1, KLF4"
ZEB1,3,6.015,0.020253255574713306,0.04043578612840728,0.2,"SLC25A10, CDH1, PKP3"
YBX1,2,12.022,0.02153645130752127,0.04043578612840728,0.333,"AGT, EGFR"
JUNB,2,12.022,0.02153645130752127,0.04043578612840728,0.333,"CDKN2A, EGFR"
NR1H3,2,12.022,0.02153645130752127,0.04043578612840728,0.333,"SREBF1, FASN"
NR1H2,2,12.022,0.02153645130752127,0.04043578612840728,0.333,"SREBF1, FASN"
HIF1A,14,1.922,0.024611021118193903,0.04528427885747678,0.074,"SLC16A4, NPM1, GPX3, ERRFI1, BNIP3, CCND1, TFF3, GRB10, PFKP, MCL1"
